Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude
O'Connor-Parkview,970,"3,780","43,907",-79.3067703247129,43.7087211608716
Oakridge,1427,"7,444","26,793",-79.2791213989129,43.6988296508715
Oakwood Village,788,"9,511","39,803",-79.439880371013,43.6888809207157
Old East York,600,"3,997","53,315",,
Palmerston-Little Italy,788,"9,601","58,071",-79.419219970713,43.6595611572715
Parkwoods-Donalda,1377,"4,691","42,516",,
Pelmo Park-Humberlea,692,"2,547","39,003",-79.529266357413,43.7103500366716
Playter Estates-Danforth,709,"8,671","70,831",-79.355247497513,43.6801490783715
Pleasant View,421,"5,273","36,346",-79.3345336914129,43.7881202697717
Princess-Rosethorn,363,"2,138","99,055",-79.545608520513,43.6653099060715
Regent Park,980,"16,880","34,597",-79.360313415513,43.6606903076715
Rexdale-Kipling,694,"4,229","34,418",-79.567199707013,43.7243309071637
Rockcliffe-Smythe,1227,"4,414","34,059",-79.488647460913,43.6752815246715
Roncesvalles,1416,"9,851","50,580",-79.442687988213,43.6442718505715
Rosedale-Moore Park,1628,"4,500","207,903",-79.379371643013,43.6819114685715
Rouge,1940,"1,260","39,556",-79.1740493774129,43.8076591497177
Runnymede-Bloor West Village,535,"6,333","71,888",-79.486686706513,43.6624603271715
Rustic,712,"4,734","31,800",-79.497230529713,43.7124900817716
Scarborough Village,1241,"5,395","32,913",-79.2169189453129,43.7385215759716
South Parkdale,1272,"9,583","35,207",-79.432540893513,43.6378784179714
South Riverdale,1949,"3,136","53,803",,
St.Andrew-Windfields,916,"2,430","100,516",,
Steeles,687,"5,436","31,786",,
Stonegate-Queensway,942,"3,199","64,140",,
Tam O'Shanter-Sullivan,1016,"5,073","34,200",,
Taylor-Massey,853,"15,528","30,430",,
The Beaches,853,"6,058","92,580",,
Thistletown-Beaumond Heights,612,"3,130","32,815",,
Thorncliffe Park,746,"6,787","28,875",,
Trinity-Bellwoods,1217,"9,570","50,694",,
University,1293,"5,395","50,757",,
Victoria Village,594,"3,710","35,786",,
Waterfront Communities-The Island,5674,"8,943","70,600",,
West Hill,2857,"2,856","33,323",,
West Humber-Clairville,4338,"1,117","31,771",,
Westminster-Branson,837,"7,339","32,724",,
Weston,1410,"7,197","32,997",,
Wexford/Maryvale,2350,"2,724","35,047",,
Willowdale East,1867,"10,087","45,326",,
Willowdale West,548,"5,820","44,576",,
Willowridge-Martingrove-Richview,1081,"4,007","44,177",,
Woburn,3158,"4,345","30,878",,
Woodbine Corridor,648,"7,838","55,199",,
Woodbine-Lumsden,434,"6,722","47,710",,
Wychwood,623,"8,541","54,460",,
Yonge-Eglinton,325,"7,162","89,330",,
Yonge-St.Clair,234,"10,708","114,174",,
York University Heights,3141,"2,086","29,958",,
Yorkdale-Glen Park,1571,"2,451","38,527",,
