Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude,location,point
East End-Danforth,1691,"8,038","54,324",-79.2991104125129,43.684150695871494,"East End, East York, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 3C9, Canada","(43.6684402, -79.33067, 0.0)"
Edenbridge-Humber Valley,473,"2,840","101,551",-79.521263122513,43.6699104309715,"Edenbridge Drive, Humber Valley, Etobicoke Centre, Etobicoke, Toronto, Ontario, M6M 2E6, Canada","(43.6786234, -79.5101307, 0.0)"
Eglinton East,1804,"7,051","30,033",-79.2322904,43.739622,"Eglinton, 2995, Eglinton Avenue East, Eglinton, Scarborough Southwest, Scarborough, Toronto, Ontario, M1J 2E5, Canada","(43.739622, -79.2322904, 0.0)"
Elms-Old Rexdale,581,"3,306","32,012",-79.549560546813,43.72428894071629,"Rexdale, Etobicoke North, Etobicoke, Toronto, Ontario, M9W 3Z3, Canada","(43.7213619, -79.5655129, 0.0)"
Englemount-Lawrence,873,"6,466","48,134",-79.438117980913,43.7219200134716,"Englemount Avenue, Glen Park, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6B 2H5, Canada","(43.7115939, -79.4360013, 0.0)"
Eringate-Centennial-West Deane,676,"2,171","47,002",-79.577377319313,43.661911010771504,,
Etobicoke West Mall,450,"6,582","38,255",-79.56771850581299,43.6444511413715,"The West Mall, Eatonville, Etobicoke, Etobicoke Centre, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9C 1G8, Canada","(43.6481772, -79.5681708, 0.0)"
Flemingdon Park,1001,"9,026","28,654",-79.33171081512991,43.7163085937162,"Flemingdon Park, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M3C 1C3, Canada","(43.7184315, -79.333204, 0.0)"
Forest Hill North,568,"8,054","85,099",-79.427452087413,43.7052192687716,"Forest Hill, Steuben County, New York, United States","(42.0792411, -77.0010768, 0.0)"
Forest Hill South,360,"4,380","204,521",-79.41609954813009,43.6943092346715,"Forest Hill, Universitetsgatan, Mjölnartorpet, Karlstad, Karlstads kommun, Värmlands län, Svealand, 656 37, Sverige","(59.4097454, 13.5833927, 0.0)"
